Utterance;Topic;Dialog act;Emotion
thats_good (that's good);thats_good;comment;x
isee_downer (i see);i_see;backchannel;x
there are always tradeoffs in life aren't there;trade_offs;q;no_emo
okay so how are you doing today;doing_today;q;no_emo
i'm ellie;self_intro;opening;x
what got you to seek help;seek_help;q;no_emo
yeah i'm sorry to hear that;sorry_hear;comment;x
could you have done anything to avoid it;avoid;q;no_emo
how easy is it for you to get a good night sleep;easy_good_sleep;q;no_emo
influence_positive (who's someone that's been a positive influence in your life);influence_positive;q;no_emo
sleep_affects (what are you like when you don't sleep well);sleep_affects;q;no_emo
wow (wow);wow;backchannel;x
good_hear (that's so good to hear);good_hear;comment;x
nice (nice);nice;comment;x
what do you do when you're annoyed;what_do_annoyed;q;emo
are you okay with this;ok_with_this;q;no_emo
great_thanks (i'm great thanks);great_thanks;comment;x
thats_great (that's great);great_thanks;comment;x
do_fun (what are some things you like to do for fun);do_for_fun;q;emo
how did serving in the military change you;military_change;q;no_emo
that_sucks (that sucks);that_sucks;comment;x
aw okay;ok;backchannel;x
what made you decide to do that;made_decision_do;q;x
what are some things that usually put you in a good mood;things_good_mood;q;emo
are you happy you did that;happy_did_that;q;emo
what's one of your most memorable experiences;memorable_exp;q;x
feelguilty (what's something you feel guilty about);feel_guilty;q;emo
have you ever served in the military;ever_served_military;q;no_emo
okay i think i've asked everything i need to thanks for sharing your thoughts with me;im_done;comment;x
why_enlist (why'd you decide to enlist in the military);why_enlist;q;no_emo
i don't judge i can't i'm a computer;don’t_judge;opening;x
mhm what are some things you don't really like about l_a;don’t_like_l_a;q;no_emo
what are some things you don't really like about l_a;like_l_a;q;no_emo
hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i don't judge i can't i'm a computer i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential;opening;opening;x
yeah that sounds really hard;sounds_hard;comment;x
why2 (why);why;q;no_emo
are you still working in that;still_doing_x;q;no_emo
too_hard (do you think that maybe you're being a little hard on yourself);too_hard;q;no_emo
Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed);sth_enjoyed;q;emo
how often do you go back to your hometown;back_hometown;q;no_emo
 what do you do to relax;do_to_relax;q;emo
and please feel free to tell me anything you answers are totally confidential;answer_confidential;opening;x
kids_elaborate (tell me about your kids);kids_elaborate;q;no_emo
how do you cope with them;cope_with;q;no_emo
oh;backchannel;backchannel;x
do you consider yourself an introvert;introvert;q;no_emo
study (what did you study at school);study_at_school;q;no_emo
situation_handled (tell me about a situation that you wish you had handled differently);situation_handled;q;no_emo
how have you been feeling lately;feel_lately;q;emo
is it uncomfortable for you to talk about this;uncomfy_talk_this;comment;x
so how are you doing today;how_doing_today;q;no_emo
think of me as a friend i don't judge i can't i'm a computer;don’t_judge;opening;x
hard_decisionB (tell me about the hardest decision you've ever had to make);hard_decision;q;no_emo
hmm;backchannel;backchannel;x
wild_laughter3 ((laughter));laughter;other;x
mad_makeyou (what are some things that make you really mad);make_you_mad;q;emo
why_LA (why did you move to l_a);why_la;q;no_emo
yeah there are always tradeoffs in life aren't there;trade_offs;q;no_emo
okay what's the best thing about being a parent;best_thing_parent;q;no_emo
tell_me_moreV2 (can you tell me more about that);tell_me_more;comment;x
have you ever been diagnosed with p_t_s_d;diagnosed_ptsd;q;no_emo
still_doing_X (are you still doing that);still_doing_x;q;no_emo
who's someone that's been a positive influence in  your life;positive_influence_life;q;no_emo
that's a long time;long_time;q;no_emo
yeah how hard is that;how_hard;q;no_emo
happy_didthat (are you happy you did that);happy_did_that;q;emo
can you tell me about that;tell_me_more;comment;x
disturbing_thoughts (do you have disturbing thoughts);disturbing_thoughts;q;emo
mhm how did you decide to do that;how_decide_do_that;q;no_emo
i see what you mean;i_see;backchannel;x
why'd you decide to enlist in the military;why_enlist;q;no_emo
hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i don't judge i can't i'm a computer;don’t_judge;opening;x
okay;ok;backchannel;x
what was it about;what_about;q;no_emo
how often do you go back to your home town;back_hometown;q;no_emo
thank you;thank_you;opening;x
effectB (how did serving in the military change you);military_change;q;no_emo
how would your best friend describe you;bf_describe;q;no_emo
do you feel like therapy's useful;therapy_useful;q;no_emo
hard_decision (how did you decide to do that);hard_decision;q;no_emo
symptoms_cope (how do you cope with them);symptoms_cope;q;no_emo
what are some things you like to do for fun who's someone that's been a positive influence in your life;positive_influence_life;q;no_emo
did you think you had a problem before you found out;problem_before_found;q;no_emo
how close are you to your family <asks do you travel a lot simultaneously>;close_to_family;q;no_emo
easy_parent (do you find it easy to be a parent);easy_parent;q;no_emo
family_roleB (how close are you to your family);close_to_family;q;no_emo
why;why;q;no_emo
where are you from originally;origin_from;q;no_emo
has that gotten you in trouble;got_in_trouble;q;no_emo
that's so good to hear;good_hear;comment;x
hm;backchannel;backchannel;x
did you ever see combat;ever_see_combat;q;no_emo
feel_down (do you feel down);feel_down;q;emo
trigger (are they triggered by something);trigger;q;emo
good_job (it can be tough to find a good job these days);good_job;q;no_emo
therapy_useful (do you feel like therapy is useful);therapy_useful;q;no_emo
do you travel a lot;travel_lot;q;no_emo
IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this);opening;opening;x
what's the hardest thing about being a parent;hard_thing_parent;q;no_emo
argument_about (what was it about);argument_about;q;no_emo
i'm here to learn about people and would love to learn about you;opening;opening;x
<research assistant speaking>;<research assistant speaking>;other;x
hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment;opening;opening;x
behavior_changes (have you noticed any changes in your behavior or thoughts lately);behavior_changes;q;no_emo
<laughter> could you say a little more about that;tell_me_more;comment;x
tell_me_about (tell me about that);tell_me_about;q;no_emo
when'd you move to l_a;when_la;q;no_emo
why don't we talk about that later;talk_that_later;comment;x
 when was the last time you felt really happy;last_time_happy;q;emo
what do you do to relax;do_what_relax;q;emo
how_close (how close are you to them);how_close;q;no_emo
thanks it was great chatting with you;thank_you;opening;x
<laughter>;laughter;other;x
last_argument (when was the last time you argued with someone and what was it about);last_argument;q;no_emo
that's good;good;comment;x
travel_trips (i'd love to hear about one of your trips);travel_trips;q;no_emo
that's good what do you think of today's kids;kids_elaborate;q;no_emo
what are some things that make you really mad;things_make_mad;q;emo
okay_confirm (okay);ok;backchannel;x
oh my gosh;omg;backchannel;x
me_too (me too);me_too;comment;x
appreciate_open (thanks for sharing your thoughts with me);appreciate_open;comment;x
are you still doing that;still_doing_x;q;no_emo
okay okay;ok;backchannel;x
could you say a little more about that;tell_me_more;comment;x
what made you decide to go and see someone;made_decision_do;q;x
i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started;opening;opening;x
[laughter];laughter;other;x
symptoms_what (what were your symptoms);symptoms_cope;q;no_emo
i'm great thanks;good_thank;comment;x
yeah that sucks;that_sucks;comment;x
when_diagnosed (how long ago were you diagnosed);when_diagnosed;q;no_emo
avoid (could you have done anything to avoid it);avoid;q;no_emo
how often to you go back to your home town;back_hometown;q;no_emo
have you noticed any changes in your behavior or thoughts lately;behavior_changes;q;no_emo
what are you;what_are_you;q;no_emo
there are always trade-offs in life aren't there;trade_offs;q;no_emo
do you feel that way often;feel_that_way;q;emo
military (have you ever served in the military);ever_serve_military;q;no_emo
easy_sleep (how easy is it for you to get a good night's sleep);easy_sleep;q;no_emo
landed_trouble (has that gotten you in trouble);landed_trouble;q;no_emo
family_relationship (tell me about your relationship with your family);family_relationship;q;no_emo
what'd you study at school;study_at_school;q;no_emo
what do you enjoy about traveling;enjoy_travel;q;no_emo
how has seeing a therapist affected you;therapy_affect;q;no_emo
memory_erase (tell me about an event or something that you wish you could erase from your memory);memory_erase;q;no_emo
happy_lasttime (tell me about the last time you felt really happy);last_time_happy;q;emo
mhm that's a long time;long_time;q;no_emo
give_example (can you give me an example of that);give_example;comment;x
yes;yes;comment;x
therapy_changes (what sort of changes have you noticed since you've been going to therapy);therapy_changes;q;no_emo
that sucks;that_sucks;comment;x
Ellie17Dec2012_03 (that's good);thats_good;comment;x
awesome (awesome);awesome;comment;x
how are you doing today;doing_today;q;no_emo
do you find it easy to be a parent;easy_parent;q;no_emo
job_virtually (i love my job you could almost say it's virtually made for me what's your dream job);job_virtually;q;no_emo
love_hear (i'd love to hear all about it);love_hear;comment;x
Ellie17Dec2012_09 (what are some things that usually put you in a good mood);things_good_mood;q;emo
okay i think i've asked everything i need to;im_done;comment;x
elaborate (could you say a little more about that);tell_me_more;comment;x
and please feel free to tell me anything you're answers are totally confidential;answer_confidential;opening;x
mmm;backchannel;backchannel;x
i'm sorry;sorry;comment;x
yeah i see what you mean;i_see;backchannel;x
feelbadly (tell me about a time when someone made you feel really badly about yourself);feel_badly;q;emo
goodbye;goodbye;opening;x
self_change (what are some things you wish you could change about yourself);self_change;q;no_emo
Ellie17Dec2012_07 (what would you say are some of your best qualities);best_qualities;q;no_emo
is there anything you regret;things_regret;q;no_emo
that's great i'd love to hear all about it;love_hear;comment;x
<laughter> okay;laughter;other;x
very_young (you were very young weren't you);very_young;q;no_emo
hmm_downer (hmm);backchannel;backchannel;x
why why;why;q;no_emo
how_doingV (so how are you doing today);how_doing_today;q;no_emo
depression_diagnosed (have you been diagnosed with depression);depression_diagnosed;q;no_emo
yeah_downer (yeah);backchannel;backchannel;x
shyoutgoing (do you consider yourself more shy or outgoing);shy_or_outgoing;q;no_emo
what_do_when_annoyed (what do you do when you are annoyed);what_do_annoyed;q;emo
that's good where are you from originally;origin_from;q;no_emo
i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential;answer_confidential;opening;x
tell me more about that;tell_me_more;comment;x
when was the last time you argued with someone and what was it about;last_argument;q;no_emo
how old were you when you joined the military;time_join_military;q;no_emo
okay could you have done anything to avoid it;avoid;q;no_emo
um (um);backchannel;backchannel;x
Ellie17Dec2012_04 (that's great);good;comment;x
cool;cool;comment;x
uh huh;backchannel;backchannel;x
how do you like l_a;like_l_a;q;no_emo
back_later (let's come back to that later);back_later;comment;x
where_live (where do you live);where_live;q;no_emo
<laughter> i see what you mean;i_see;backchannel;x
have you been diagnosed with depression;depression_diagnosed;q;no_emo
uh_huh (uh huh);backchannel;backchannel;x
what do you think of today's kids;think_of_kids;q;no_emo
long_time (that's a long time);long_time;q;no_emo
do you still go to therapy now;still_go_therapy_now;q;no_emo
how did you feel in that moment;how_feel;q;emo
how does it compare to l_a;compare_la;q;no_emo
yes (yes);yes;comment;x
still_working_on_X (are you still working in that);still_doing_x;q;no_emo
how_know (how do you know them);how_know;q;no_emo
<laughter> can you give me an example of that;give_example;comment;x
BF_describe (how would your best friend describe you);bf_describe;q;no_emo
dream_job (what's your dream job);dream_job;q;no_emo
there are always trade offs in life aren't there;trade_offs;q;no_emo
[sync];[sync];other;x
aw;aw;backchannel;x
do you have roommates;have_roommates;q;no_emo
regret (is there anything you regret);things_regret;q;no_emo
how close are you to your family;close_to_family;q;no_emo
wow;aw;backchannel;x
feel_lately (how have you been feeling lately);feel_lately;q;emo
change_directions (what made you decide to do that);change_directions;q;no_emo
is going to a therapist helping you;therapy_helps;q;no_emo
let's come back to that later;back_later;comment;x
travel_changed (what do you enjoy about traveling);travel_changed;q;no_emo
you were very young weren't you;were_young;q;no_emo
uncomfortable_talkV (is it uncomfortable for you to talk about this);uncomfy_talk_this;comment;x
trade_offs (there are always trade-offs in life aren't there);trade_offs;q;no_emo
living_situation (how do you like your living situation);living_situation;q;no_emo
right;right;backchannel;x
and please feel free to tell me anything your answers are totally confidential are you okay with this;answer_confidential;opening;x
bouts_symptoms (when was the last time that happened);last_time_happen;q;no_emo
travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot);travel_shoes;q;no_emo
talk_later (why don't we talk about that later);back_later;comment;x
name_ellie (i'm ellie);self_intro;opening;x
therapy_going (do you still go to therapy now);still_go_therapy_now;q;no_emo
what did you do after the military;do_after_military;q;no_emo
do you feel like therapy is useful;therapy_helps;q;no_emo
that makes sense;make_sense;q;no_emo
adapted_LA (how easy was it for you to get used to living in l_a);adapted_la;q;no_emo
what would you say are some of your best qualities;best_qualities;q;no_emo
why'd you move to l_a;why_la;q;no_emo
mhm (mhm);backchannel;backchannel;x
been_hard (that sounds really hard);sounds_hard;comment;x
after (what did you do after the military);do_after_military;q;no_emo
hmm1 (hmm);backchannel;backchannel;x
suspect_problem (did you think you had a problem before you found out);suspect_problem;q;no_emo
i'll ask a few questions to get us started;opening;opening;x
tell me about something you did recently that you really enjoyed;enjoy_recent;q;no_emo
like_what (like what);like_what;q;no_emo
parent_differences (what are some ways that you're different as a parent than your parents);parent_differences;q;no_emo
i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started;opening;opening;x
i'd love to hear all about it;love_hear;comment;x
how close are you to them;close_to_family;q;no_emo
how easy was it for you to go back to civilian life;easy_back_civilian;q;no_emo
hi i'm ellie thanks for coming in today;self_intro;opening;x
like what;like_what;q;no_emo
difficult (how hard is that);how_hard;q;no_emo
memorableB (what's one of your most memorable experiences);memorable_exp;q;x
im_sorry (i'm sorry);sorry;comment;x
downer (okay);ok;backchannel;x
oh_no (oh no);no;comment;x
<laughter> do you travel a lot;travel_lot;q;no_emo
what do you do now;do_now;q;no_emo
how do you like your living situation;living_situation;q;no_emo
do you have disturbing thoughts;disturbing_thoughts;q;emo
what sort of changes have you noticed since you've been going to therapy;therapy_changes;q;no_emo
awesome how did you decide to do that;how_decide_do_that;q;no_emo
more (tell me more about that);tell_me_more;comment;x
how would you best friend describe you;bf_describe;q;no_emo
often_backB (how often do you go back to your hometown);back_hometown;q;no_emo
mhm i see what you mean;i_see;backchannel;x
when did you move to l_a;when_la;q;no_emo
oh no;no;comment;x
what's it like for you living with them;living_situation;q;no_emo
makes_sense (that makes sense);make_sense;q;no_emo
relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax);relax_fishtank;comment;x
can you give me an example of that;give_example;comment;x
thank_you (thank you);thank_you;opening;x
oh (oh);backchannel;backchannel;x
thanks for sharing your thoughts with me;thank_you;opening;x
what are you most proud of in your life;proud_life;q;no_emo
oh_my_gosh (oh my gosh);omg;backchannel;x
do you consider yourself and introvert;introvert;q;no_emo
how easy was it for you to get used to living in l_a;easy_used_to_la;q;no_emo
what advice would you give yourself ten or twenty years ago;advice_back;q;no_emo
see_mean (i see what you mean);i_see;backchannel;x
tell_about_that (can you tell me about that);tell_me_more;comment;x
hmmB (hmm);backchannel;backchannel;x
mind (whatever comes to your mind);whatever_come_to_mind;q;no_emo
it can be tough to find a good job these days;tough_find_job;q;no_emo
really;backchannel;backchannel;x
therapist_useful (is going to a therapist helping you);therapy_helps;q;no_emo
sounds_interesting (that sounds interesting);sounds_interesting;comment;x
right2 (right);backchannel;backchannel;x
yeah2 (yeah);yes;comment;x
nice are you still doing that;nice_doing_that;comment;x
advice_back (what advice would you give to yourself ten or twenty years ago);advice_back;q;no_emo
aw (aw);aw;backchannel;x
asked_everything (okay i think i have asked everything i need to);im_done;comment;x
i understand;i_understand;backchannel;x
 when was the last time you argued with someone and what was it about;last_argument;q;no_emo
from_LA2 (i am from l_a);from_la;q;no_emo
what's the best thing about being a parent;best_thing_parent;q;no_emo
bye (goodbye);goodbye;opening;x
i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential;opening;opening;x
yeah;yes;comment;x
what are some things you really like about l_a;like_l_a;q;no_emo
when was the last time that happened;last_time_happen;q;no_emo
whatever comes to your mind;whatever_come_to_mind;q;no_emo
that sounds interesting;sounds_interesting;comment;x
dont_like_LA (what are some things you don't really like about l_a);don’t_like_l_a;q;no_emo
yeah i understand;i_understand;backchannel;x
hm okay;backchannel;backchannel;x
stop_going (why did you stop);stop_going;q;no_emo
what are you like when you don't sleep well;like_when_sleep_bad;q;no_emo
civilian_life (how easy was it for you to go back to civilian life);easy_back_civilian;q;no_emo
uh huh uh huh uh huh is there anything you regret is there anything you regret;things_regret;q;no_emo
uh_oh (uh oh);backchannel;backchannel;x
are they triggered by something;trigger;q;emo
awesome;awesome;comment;x
i love listening to people talk;love_hear;comment;x
i''m here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential;opening;opening;x
todays_kids (what do you think of today's kids);think_of_kids;q;no_emo
yeah i'm sorry;sorry;comment;x
what's your dream job;dream_job;q;no_emo
how easy is it for you to get a good night's sleep;easy_good_sleep;q;no_emo
ideal_weekendC (tell me how you spend your ideal weekend);ideal_weekend;q;no_emo
i'm not a therapist but i'm here to learn about people and would love to learn about you;opening;opening;x
yeah3 (yeah);yes;comment;x
goodbye goodbye;goodbye;opening;x
like_about_LA (what are some things you really like about l_a);like_l_a;q;no_emo
me too;me_too;comment;x
combat (did you ever see combat);combat;q;no_emo
where do you live;where_live;q;no_emo
who's someone that's been a positive influence in your life;positive_influence_life;q;no_emo
when was the last time you felt really happy;last_time_happy;q;emo
that sounds really hard;sounds_hard;comment;x
i see;i_see;backchannel;x
aww;aw;backchannel;x
that's great;great;comment;x
how did you decide to do that;how_decide_do_that;q;no_emo
do you think that maybe you're being a little hard on yourself;hard_on_yourself;q;no_emo
do you feel down;feel_down;q;emo
control_temper (how are you at controlling your temper);control_temper;q;no_emo
i was created to talk to people in a safe and secure environment;self_intro;opening;x
cool3 (cool);cool;comment;x
that sounds like a great situation;sounds_great;comment;x
 who's someone that's been a positive influence in your life;positive_influence_life;q;no_emo
nice;backchannel;backchannel;x
mm;backchannel;backchannel;x
how are you at controlling your temper;control_temper;q;no_emo
i'm sorry to hear that;sorry_hear;comment;x
sorry_hear (i'm sorry to hear that);sorry_hear;comment;x
where_originally (where are you from originally);origin_from;q;no_emo
understand (i understand);i_understand;backchannel;x
how hard is that;how_hard;q;no_emo
when_LA (when did you move to l_a);when_la;q;no_emo
how long ago were you diagnosed;how_long_diagnosed;q;no_emo
Ellie17Dec2012_06 (wow);aw;backchannel;x
Ellie17Dec2012_02 (uh huh);backchannel;backchannel;x
how close are you to your family do you find it easy to be a parent;easy_parent;q;no_emo
why did you stop;why_stop;q;no_emo
ptsd_diagnosed (have you ever been diagnosed with p_t_s_d);diagnosed_ptsd;q;no_emo
really me too;me_too;comment;x
awB (aw);aw;backchannel;x
great_situation (that sounds like a great situation);great_situation;q;no_emo
okay_cheery (okay);ok;backchannel;x
describe_felt (how did you feel in that moment);describe_felt;q;emo
i'd love to hear about one of your trips;love_hear;comment;x
compares_LA (how does it compare to l_a);compare_la;q;no_emo
uh oh;backchannel;backchannel;x
and please feel free to tell me anything your answers are totally confidential;answer_confidential;opening;x
think of me as a friend;opening;opening;x
therapist_affect (how has seeing a therapist affected you);therapy_affect;q;no_emo
mhm;backchannel;backchannel;x
how do you know them;how_know_them;q;no_emo
uh huh uh huh;backchannel;backchannel;x
mm (mm);backchannel;backchannel;x
wild_laughter7BIG ((laughter));laughter;other;x
tell me about that;tell_me_more;comment;x
parent_best (what's the best thing about being a parent);best_thing_parent;q;no_emo
why_seek_help (what got you to seek help);why_seek_help;q;no_emo
Ellie17Dec2012_08 (what are you most proud of in your life);proud_life;q;no_emo
really (really);really;backchannel;x
what are some things you like to do for fun;do_for_fun;q;emo
roommates (do you have roommates);roommates;q;no_emo
yeah what do you enjoy about traveling;enjoy_travel;q;no_emo
parent_hardest (what's the hardest thing about being a parent);hard_thing_parent;q;no_emo
what were your symptoms;what_symptoms;q;no_emo
tell me about your kids;tell_me_about;q;no_emo
wild_laughter5 ((laughter));laughter;other;x
old (how old were you when you joined the military);old_join_military;q;no_emo